Angle1,Angle2
157.14348059115488,161.45171864030834
157.7701343416985,157.1303364907588
157.6507872900927,158.3829019772858
162.1517055713285,157.55261334341165
160.89997408972147,156.89459834651012
145.87736646718554,164.30246325697914
150.29238963329254,158.99635810585949
160.46733035260073,169.6628539676968
160.50345622908233,170.20926765747143
179.32661512320053,170.2879546102391
161.60424235012732,175.54607271853385
126.71397940818058,172.46355325107427
153.87406017443962,176.9441860184575
164.41568296243787,170.32469947958978
174.67628148802223,168.20124365445156
158.32294866796843,179.89604958182554
169.11919075164076,179.20951910235823
150.1755136150189,178.39245501591236
143.76293229171264,176.6945920049606
146.05083548773177,167.20398356610613
145.6407950143491,162.9898620747725
144.2480385804435,160.06150451769523
144.6941796845147,159.05988267881037
142.2345611606628,157.7904065166653
140.25709977353566,159.99211060038937
141.41582917900556,162.81613085605136
142.1710119198252,161.19065664409553
141.47305806528942,158.7007852846602
142.85158653282025,158.78153411830138
146.0115275613041,155.52885668003
158.79393353014999,153.56525924224127
160.80373497016518,152.53300316177027
161.63934011037801,151.85123216538543
158.9097082441631,157.81788748144947
157.19150459402056,160.5836767469742
158.84929984044504,152.42600956555012
173.1055489650659,175.77016801068368
166.70466503948904,178.94391991391578
161.16019461004979,179.5993768911638
167.1421213956208,178.111684180068
168.5601492108181,169.23361037324406
174.09542707152707,171.7381566960475
172.82391047131588,169.51398127866642
172.17277831527,174.72674062582286
142.09656498394077,166.90476444040456
150.40643079896378,167.64838001501627
149.49054390353245,169.32975269411781
156.83711337440772,176.60995817970647
179.2039855259079,170.5498677755468
