Angle1,Angle2
120.58606181340379,139.9384929092339
120.97792909348576,140.3426232141369
121.12368166379302,141.72051654462803
121.5427605560209,141.12550399194342
118.90746928767038,143.03336035787785
124.20661401052263,150.30792542937562
118.33815986967282,152.6322980419713
115.15364791883096,146.11191004827975
117.66872408172914,148.38121333291224
129.5972241743977,143.71182355225721
135.71940917702472,144.86411776040416
124.89035192398559,152.81604930550452
119.4262098047565,148.90871773460205
121.1789018651944,150.2134157715125
120.06015530583487,147.95720269538126
118.74911999668635,143.59965479582263
117.11141976329043,144.41773283596163
123.06494838423144,146.5665960769438
115.11565537173085,137.10044241055198
115.62046112044389,137.49763715325716
117.9403516788844,141.18642913850533
116.99341507433031,136.11004093484817
117.83346709539933,137.13733425599082
117.85992937567495,137.62407914292922
117.59859517980507,136.92815939614556
120.35725577852196,135.8195346746944
118.31690921473393,135.5477592376007
116.74048534253835,135.71527045347258
115.0334587345715,136.00190915716513
117.58009408243727,136.463044259671
118.88488062365916,140.52945729445582
118.63990573169885,144.57168860082948
119.88033212610416,144.21307492992145
107.24250899488494,141.65503506467516
111.50068207763319,142.4089643628081
117.64766070405746,143.11167012342935
122.79157441073419,143.12148345661464
135.0319542197418,143.99266443188245
135.91770020418855,144.40587944202082
128.42040650249447,147.7433575751918
120.92624706172282,149.34888583408232
116.51423884257373,146.64932611156775
117.35961547919881,141.99570416715062
117.66469706837864,142.02527746401125
117.88924409589926,141.95032420679559
117.98071522436355,141.92977380675913
118.48363036471335,141.98641080669535
118.4741128330755,141.99307607647916
118.45704147597453,142.17051083417766
